ID Progetto,File,Indirizzo,Imprese,Latitudine,Longitudine
186399,Veneto senza verona e vicenza,ex cartiera Galvani  31029 Vittorio Veneto ( TV ),Luma srl,45.973307,12.3114989
274886,emilia romagna,Via Ponente  40133 Bologna ( BO ),Impresa Percassi SpA,44.5084224,11.2990218
293853,Veneto senza verona e vicenza,Loc.Riviera Paleocapa  35141 Padova ( PD ),ArCo Lavori s.coop.consortile; GeDi Group SpA; VF Costruzioni e Restauri Srl; assegnato; integrato; integrato aggiudicato al Consorzio,45.4017209,11.8674049
313694,TRENTINO ALTO ADIGE,Zona Gansplatzen  39044 Egna ( BZ ),Mak Costruzioni srl,46.3070976,11.2673189
321395,emilia romagna,Via Armando Spadini 2  40133 Bologna ( BO ),(nominativo al momento non dichiarato),44.5042659,11.2946634
335871,Veneto senza verona e vicenza,Via Selva Rosata 79  30021 Caorle ( VE ),Manelli Impresa Spa,45.5617946,12.7946751
337356,emilia romagna,Via Copparo  44123 Ferrara ( FE ),Bruni Costruzioni; assegnato,44.846195,11.6523959
354036,TRENTINO ALTO ADIGE,Via Alto Adige  39100 Bolzano ( BZ ),CMB Coop.Muratori e Braccianti di Carpi srl,46.4963108,11.3551164
363162,PIEMONTE,Via Caraglio Via Monginevro  10142 Torino ( TO ),(nominativo al momento non dichiarato); assegnato,45.0645131,7.6421164
363618,Veneto senza verona e vicenza,Sestiere Dorsoduro 2209  30123 Venezia ( VE ),Errico Costruzioni srl,45.4343206,12.3258343
371374,Veneto senza verona e vicenza,Via del Giglio  35100 Padova ( PD ),San Lorenzo Invest srl,45.4365789,11.882154
372246,emilia romagna,47034 Forlimpopoli ( FC ),(nominativo al momento non dichiarato) + Ausa Costruzioni srl + Immobiliare Rossano srl + Matteini Home srl; assegnato,44.1878637,12.128578
386443,TRENTINO ALTO ADIGE,Fr.Settequerce  39018 Terlano ( BZ ),Mastria Costruzioni srl,46.51140470000001,11.2661069
388353,PIEMONTE,Via Bartolomeo Mana  10040 Druento ( TO ),Donizzetti 85 snc; assegnato,45.1288598,7.5744942
393762,PIEMONTE,Via Verdi 18  10078 Venaria Reale ( TO ),Cobar SpA + Fiammengo Federico srl; integrato,45.1314151,7.6277211
400172,PIEMONTE,St. Misterletta  10040 Druento ( TO ),Promicasa srl + Promicasa srl; assegnato,45.1390322,7.5579479
402002,PIEMONTE,C.so Francia 45  10100 Torino ( TO ),Nuova Siet SpA,45.0733691,7.600601699999999
407299,Veneto senza verona e vicenza,via Verdi  35013 Cittadella ( PD ),Tiemme Costruzioni Edili SpA,45.643529,11.7828906
407454,PIEMONTE,10040 Druento ( TO ),Donizzetti 85 snc,45.1346394,7.576493
409086,PIEMONTE,Via Venezia  10070 Robassomero ( TO ),Intercostruzioni SpA; assegnato,45.1960639,7.5696737
409306,emilia romagna,p.le Farini 21  48121 Ravenna ( RA ),CEAR Consorzio Edili Artigiani Ravenna Soc.; Safer srl; Stylcasa srl,44.4187463,12.205547
410608,PIEMONTE,Via Principi di Villafranca 4  10068 Villafranca Piemonte ( TO ),Capogruppo ATI; MIT srl,44.7833939,7.508184699999999
414116,TRENTINO ALTO ADIGE,Via Piave   38122 Trento ( TN ),Habitat SpA Impresa Costruzioni,46.0625814,11.1262839
416425,PIEMONTE,Str. Castelvecchio  10024 Moncalieri ( TO ),Sinfonia Costruzioni srl,45.0075266,7.7028055
417201,PIEMONTE,Via Vernante  12100 Cuneo ( CN ),Effettotetto snc; assegnato,44.3635511,7.5235391
422781,PIEMONTE,Via Nino Bixio  12051 Alba ( CN ),Taricco Costruzioni srl; assegnato,44.7031886,8.0366779
423819,PIEMONTE,Via Bacchiasso  10051 Avigliana ( TO ),Vanzetti Costruzioni srl; assegnato,45.0741297,7.4131289
430929,TRENTINO ALTO ADIGE,39034 Dobbiaco ( BZ ),Merotto Bau,46.7355741,12.2212221
435310,PIEMONTE,via C.Ramo  10090 Buttigliera Alta ( TO ),MIRO srl Costruzioni Edili,45.0823375,7.4266597
437464,PIEMONTE,Via XXIV Maggio 20  28921 Verbania ( VB ),Frua Immobiliare srl,45.9413754,8.5614394
441181,Veneto senza verona e vicenza,Via Asseggiano  30174 Venezia ( VE ),(nominativo al momento non dichiarato),45.4951428,12.1910608
443862,Veneto senza verona e vicenza,Via T.Aspetti 259  35134 Padova ( PD ),Cons. Stabile Conpat scarl; GeDi Group SpA; Taddei Spa,45.4297674,11.8880823
446522,PIEMONTE,C.so Bagni  15011 Acqui Terme ( AL ),Costruzioni Imm.re Piemonte srl; assegnato,44.6704051,8.4687066
446974,PIEMONTE,via Pisa 38  10152 Torino ( TO ),Perino Piero srl,45.0757341,7.6940428
447227,emilia romagna,Via Bergamo  47838 Riccione ( RN ),I Platani srl; integrato aggiudicato all'impresa segnalata che ha indicato i,43.99267,12.6623023
447604,PIEMONTE,Via del Molino  10045 Piossasco ( TO ),ICR Costruzioni srl; assegnato,44.9863552,7.4624815
448261,PIEMONTE,via don Orione  12042 Bra ( CN ),Mondavi Costruzioni Bra,44.7141578,7.8318533
448515,PIEMONTE,Via N. Bixio 1  10043 Orbassano ( TO ),Martignon Costruzioni di Martignon Gabriele sas; assegnato,45.00893079999999,7.5387621
449737,emilia romagna,Via dell'Agricoltura  48123 Ravenna ( RA ),Epi srl; assegnato,44.4352094,12.1982337
451922,emilia romagna,Via della Beverara  40131 Bologna ( BO ),ITI Impresa Generale SpA; aggiudicato all'impresa segnalata che ha; assegnato,44.5175076,11.3311626
453271,emilia romagna,Via Emilia  40064 Ozzano dell'Emilia ( BO ),Futura Costruzioni srl,44.4437443,11.4788431
454307,emilia romagna,Via S.Eufemia 25  41121 Modena ( MO ),AEC Costruzioni srl,44.6469567,10.9237794
454717,PIEMONTE,P.za Europa  12100 Cuneo ( CN ),Barra Costruzioni srl,44.384053,7.5413579
454879,PIEMONTE,V.le Dante Alighieri 21  28100 Novara ( NO ),Notarimpresa SpA; assegnato,45.4496956,8.6162723
455789,emilia romagna,Via Costa 106  47822 Santarcangelo di Romagna ( RN ),Zanon Prefabbricati,44.0686715,12.4332105
457187,TRENTINO ALTO ADIGE,Via Antonio Pacinotti  39100 Bolzano ( BZ ),Habitat SpA Impresa Costruzioni; assegnato,46.4827162,11.3313806
457918,PIEMONTE,Via Beppe Fenoglio  14053 Canelli ( AT ),Olivieri Costruzioni Generali srl; assegnato,44.7262369,8.3000168
459380,PIEMONTE,Via Bergamo  10036 Settimo Torinese ( TO ),Bonarrigo Costruzioni srl,45.1502372,7.7826872
459429,PIEMONTE,Via Giuseppe Verdi 9  10124 Torino ( TO ),Alma CIS srl; Capogruppo ATI; Consorzio San Luca srl,45.0695393,7.6896272
459540,Veneto senza verona e vicenza,Via Cavour  35020 Ponte San Nicolò ( PD ),Galiazzo Fratelli Costruzioni srl,45.3640416,11.9099118
459556,TRENTINO ALTO ADIGE,Via Dante 27  39031 Brunico ( BZ ),Elpo srl; Schmidhammer srl; Unionbau SpA + Wipptaler Bau SpA,46.7985767,11.9483053
460721,PIEMONTE,Via Verbano  28100 Novara ( NO ),Centauro Group; assegnato,45.4776045,8.6285092
