ID Progetto,File,Indirizzo,Imprese,Latitudine,Longitudine
186399,Veneto senza verona e vicenza,ex cartiera Galvani  31029 Vittorio Veneto ( TV ),Luma srl,45.973307,12.3114989
274886,emilia romagna,Via Ponente  40133 Bologna ( BO ),Impresa Percassi SpA,44.5084224,11.2990218
313694,TRENTINO ALTO ADIGE,Zona Gansplatzen  39044 Egna ( BZ ),Mak Costruzioni srl,46.3070976,11.2673189
335871,Veneto senza verona e vicenza,Via Selva Rosata 79  30021 Caorle ( VE ),Manelli Impresa Spa,45.5617946,12.7946751
354036,TRENTINO ALTO ADIGE,Via Alto Adige  39100 Bolzano ( BZ ),CMB Coop.Muratori e Braccianti di Carpi srl,46.4963108,11.3551164
363618,Veneto senza verona e vicenza,Sestiere Dorsoduro 2209  30123 Venezia ( VE ),Errico Costruzioni srl,45.4343206,12.3258343
371374,Veneto senza verona e vicenza,Via del Giglio  35100 Padova ( PD ),San Lorenzo Invest srl,45.4365789,11.882154
386443,TRENTINO ALTO ADIGE,Fr.Settequerce  39018 Terlano ( BZ ),Mastria Costruzioni srl,46.51140470000001,11.2661069
393762,PIEMONTE,Via Verdi 18  10078 Venaria Reale ( TO ),Cobar SpA + Fiammengo Federico srl; integrato,45.1314151,7.6277211
402002,PIEMONTE,C.so Francia 45  10100 Torino ( TO ),Nuova Siet SpA,45.0733691,7.600601699999999
407299,Veneto senza verona e vicenza,via Verdi  35013 Cittadella ( PD ),Tiemme Costruzioni Edili SpA,45.643529,11.7828906
409306,emilia romagna,p.le Farini 21  48121 Ravenna ( RA ),CEAR Consorzio Edili Artigiani Ravenna Soc.; Safer srl; Stylcasa srl,44.4187463,12.205547
410608,PIEMONTE,Via Principi di Villafranca 4  10068 Villafranca Piemonte ( TO ),Capogruppo ATI; MIT srl,44.7833939,7.508184699999999
414116,TRENTINO ALTO ADIGE,Via Piave   38122 Trento ( TN ),Habitat SpA Impresa Costruzioni,46.0625814,11.1262839
416425,PIEMONTE,Str. Castelvecchio  10024 Moncalieri ( TO ),Sinfonia Costruzioni srl,45.0075266,7.7028055
435310,PIEMONTE,via C.Ramo  10090 Buttigliera Alta ( TO ),MIRO srl Costruzioni Edili,45.0823375,7.4266597
437464,PIEMONTE,Via XXIV Maggio 20  28921 Verbania ( VB ),Frua Immobiliare srl,45.9413754,8.5614394
443862,Veneto senza verona e vicenza,Via T.Aspetti 259  35134 Padova ( PD ),Cons. Stabile Conpat scarl; GeDi Group SpA; Taddei Spa,45.4297674,11.8880823
446974,PIEMONTE,via Pisa 38  10152 Torino ( TO ),Perino Piero srl,45.0757341,7.6940428
447227,emilia romagna,Via Bergamo  47838 Riccione ( RN ),I Platani srl; integrato aggiudicato all'impresa segnalata che ha indicato i,43.99267,12.6623023
448261,PIEMONTE,via don Orione  12042 Bra ( CN ),Mondavi Costruzioni Bra,44.7141578,7.8318533
453271,emilia romagna,Via Emilia  40064 Ozzano dell'Emilia ( BO ),Futura Costruzioni srl,44.4437443,11.4788431
454307,emilia romagna,Via S.Eufemia 25  41121 Modena ( MO ),AEC Costruzioni srl,44.6469567,10.9237794
454717,PIEMONTE,P.za Europa  12100 Cuneo ( CN ),Barra Costruzioni srl,44.384053,7.5413579
455789,emilia romagna,Via Costa 106  47822 Santarcangelo di Romagna ( RN ),Zanon Prefabbricati,44.0686715,12.4332105
459380,PIEMONTE,Via Bergamo  10036 Settimo Torinese ( TO ),Bonarrigo Costruzioni srl,45.1502372,7.7826872
459429,PIEMONTE,Via Giuseppe Verdi 9  10124 Torino ( TO ),Alma CIS srl; Capogruppo ATI; Consorzio San Luca srl,45.0695393,7.6896272
459540,Veneto senza verona e vicenza,Via Cavour  35020 Ponte San Nicolò ( PD ),Galiazzo Fratelli Costruzioni srl,45.3640416,11.9099118
459556,TRENTINO ALTO ADIGE,Via Dante 27  39031 Brunico ( BZ ),Elpo srl; Schmidhammer srl; Unionbau SpA + Wipptaler Bau SpA,46.7985767,11.9483053
461433,emilia romagna,Via C. Breveglieri 2/2  44042 Cento ( FE ),Attiva Costruzioni srl; Cires Società Cooperativa; Consorzio Integra Società Cooperativa,44.7306825,11.2910966
462603,TRENTINO ALTO ADIGE,P.za Righi  38086 Pinzolo ( TN ),Pavoni SpA,46.2307443,10.8265439
463397,emilia romagna,Via Cappella 109  41053 Maranello ( MO ),CME Consorzio Imprenditori Edili s.coop.,44.50715960000001,10.8729908
463961,emilia romagna,Via del Municipio 2  47028 Verghereto ( FC ),Baglioni srl,43.79529,12.00567
464092,emilia romagna,Via Montevecchio  47921 Rimini ( RN ),Venturelli Romolo Srl,44.0053215,12.5549224
464989,Veneto senza verona e vicenza,Via Tinto  30174 Venezia ( VE ),Suninvest SpA,45.5107111,12.2447528
468109,Veneto senza verona e vicenza,Via Don Lorenzo Milani  35020 Arzergrande ( PD ),Edil Ciemme srl,45.2749243,12.0754167
468342,PIEMONTE,Str. Profonda  12051 Alba ( CN ),Domus sas,44.6850837,8.0364157
469977,emilia romagna,Via Nonantolana 221  41122 Modena ( MO ),ArCo Lavori s.coop.consortile; VF Costruzioni e Restauri Srl + Scientia srl,44.6542744,10.9396493
470256,PIEMONTE,Via Druento  10044 Pianezza ( TO ),Neglia Costruzioni srl,45.1118731,7.5596479
472222,TRENTINO ALTO ADIGE,Via Castel Flavon 5  39100 Bolzano ( BZ ),Dalle Nogare Costruzioni srl,46.4886044,11.3484601
474845,PIEMONTE,Via Pisa 18  10152 Torino ( TO ),Fiammengo Federico srl,45.0782151,7.6917613
474849,PIEMONTE,Via Langrage 35  10123 Torino ( TO ),Primula Costruzioni srl,45.0645345,7.681906100000001
476035,emilia romagna,Loc. Castelguelfo  43010 Fontevivo ( PR ),Scaramuzza Fabrizio srl,44.825244,10.211905
477823,PIEMONTE,Area ex campo base TAV  28100 Novara ( NO ),MIT srl,45.4467749,8.6168696
477828,PIEMONTE,Area ex Campo Base TAV  28100 Novara ( NO ),Capogruppo ATI; Dussmann Service Italia,45.4467749,8.6168696
478145,Veneto senza verona e vicenza,Via Cavour  30014 Cavarzere ( VE ),Capogruppo ATI; Erre Costruzioni srl; Sogedico srl; integrato; integrato aggiudicato alle imprese segnalate riunite in ATI.,45.1399718,12.085654
478867,PIEMONTE,Via Cravero 107  10095 Grugliasco ( TO ),Selva Mercurio srl,45.06256,7.580214299999999
479028,emilia romagna,Via P. Togliatti  40050 Monte San Pietro ( BO ),Ter Costruzioni srl,44.4484287,11.1893038
479436,emilia romagna,PEEP Q.re Farnesiana  29122 Piacenza ( PC ),BeGen Infrastrutture srl,45.0300347,9.7138525
479847,TRENTINO ALTO ADIGE,Via Carlo Devigili  38017 Mezzolombardo ( TN ),De Vigili Imm.re srl,46.2089268,11.0995313
480772,PIEMONTE,Via Stazione  10090 Rosta ( TO ),Crisma Costruzioni,45.0745412,7.4628222
481673,emilia romagna,Via Brando Brandi  47121 Forlì ( FC ),Olivucci Enea Srl,44.1772213,12.0689615
482388,PIEMONTE,Q.re Sant'Agabio  28100 Novara ( NO ),Mattioda Pierino & Figli SpA; integrato,45.4458388,8.637461199999999
