Blocco,Ordine,ID Progetto,Indirizzo,Impresa,Tempo cumulato (s)
1,1,186399,ex cartiera Galvani  31029 Vittorio Veneto ( TV ),Luma srl,0
1,2,515804,Via Galilei 72  31029 Vittorio Veneto ( TV ),Presotto Ennio srl; aggiudicato all'impresa segnalata che ha; assegnato,1422
1,3,533327,Via Immacolata di Lourdes  31015 Conegliano ( TV ),Tre srl,3549
1,4,525893,Via Monte Civetta  31015 Conegliano ( TV ),Immobiliare Regina srl,4894
1,5,501719,Via Antonio Carpene'  31015 Conegliano ( TV ),Fim Group srl; assegnato,6379
1,6,528922,P.zza Calvi  31015 Conegliano ( TV ),Luma srl,7813
1,7,529002,"Via Pietro Caronelli, 28  31015 Conegliano ( TV )",Lavoro srl,9082
1,8,491589,Via Stadio 16  31015 Conegliano ( TV ),Golden Art srl,10536
1,9,521801,Via Cacciatori delle Alpi 16  31015 Conegliano ( TV ),Terna Costruzioni srl,12056
1,10,528645,Via S.Salvatore  31058 Susegana ( TV ),Merotto Bau; aggiudicato; assegnato,13738
1,11,540528,Via G. Zappatori   31040 Nervesa della Battaglia ( TV ),Veneto Strutture srl; assegnato,15669
1,12,539047,Via degli Alpini  31040 Nervesa della Battaglia ( TV ),Piergio' Costruzioni Immobiliari srl; assegnato,17054
1,13,527851,V.lo Fanio Soligo  31040 Volpago del Montello ( TV ),Martini Costruzioni Generali srl,18864
1,14,504662,Vc. Palladio  31040 Volpago del Montello ( TV ),Costruzioni Bordignon srl; assegnato,20694
1,15,540140,Via Mons. Luigi Antonello   31036 Istrana ( TV ),Immobiliare Stemarc sas,22603
1,16,524717,Via Mons. Vincenzo Milani  31036 Istrana ( TV ),Marchesin snc,23982
1,17,538473,Via Prati  35010 Trebaseleghe ( PD ),Costruzioni Edili F.Lli Scattolin Di Dino & Luciano; assegnato,26040
1,18,541500,Via Antonio Pacinotti  35010 Trebaseleghe ( PD ),Malvestio Case srl; assegnato,27578
1,19,525343,Via Draganziolo  35017 Piombino Dese ( PD ),Impresa Edile Tosatto Mauro,29299
1,20,542429,Via Castellari  31023 Resana ( TV ),Domus 21 srl; assegnato,30920
1,21,529064,Via Guizze di Rustega  35012 Camposampiero ( PD ),Negrin srl; assegnato,32822
1,22,493574,Via Carlo Goldoni  35010 Massanzago ( PD ),Fam Real Estate; assegnato,34409
1,23,524448,Via della Pieve  35010 Massanzago ( PD ),Gifer srl,35900
1,24,519165,Via Giovan Battista Rossi  30033 Noale ( VE ),Pesce Costruzioni srl; assegnato,37496
1,25,521195,Via Bianchi  31021 Mogliano Veneto ( TV ),Finmac srl,40006
1,26,464989,Via Tinto  30174 Venezia ( VE ),Suninvest SpA,41811
1,27,500955,Q.re. San Liberale  31100 Treviso ( TV ),Capogruppo ATI; Ecis Global srl; Mini Costruzioni Srl,43710
1,28,534672,Fr. Fiera  31100 Treviso ( TV ),Tesser Costruzioni srl,46221
1,29,529613,v.le Monfenera  31100 Treviso ( TV ),Cecchin srl,47837
1,30,529728,Sant'Antonino  31100 Treviso ( TV ),Cecchin srl,49188
1,31,534724,Via Montello 33  31100 Treviso ( TV ),Tesser Costruzioni srl,50736
1,32,529564,via Lancenigo  31100 Treviso ( TV ),Frattin Costruzioni srl,52340
1,33,522887,Via Teatro Vecchio 17  31015 Conegliano ( TV ),Bodio H srl,55364
1,34,526447,Via XXV Aprile 12  31053 Pieve di Soligo ( TV ),DR3 Costruzioni srl,57824
1,35,542206,Via Garibaldi  31053 Pieve di Soligo ( TV ),De Biasi Costruzioni snc,59188
1,36,524953,Via Cima da Conegliano  31016 Cordignano ( TV ),Impresa Edile Artigiana Fratelli Carlet,62415
1,37,530034,B.go San Gottardo 44  30026 Portogruaro ( VE ),Capogruppo ATI; Castellanimpianti srl,65639
1,38,526775,Via Comugne  30020 Pramaggiore ( VE ),Galli srl,67612
1,39,335871,Via Selva Rosata 79  30021 Caorle ( VE ),Manelli Impresa Spa,71278
1,40,363618,Sestiere Dorsoduro 2209  30123 Venezia ( VE ),Errico Costruzioni srl,75951
1,41,507834,Via Arco di Giano  35129 Padova ( PD ),Industrie Edili SpA,79110
1,42,506193,"Via Giolitti, 1  35129 Padova ( PD )",Consorzio Stabile Artemide; assegnato,80463
1,43,535483,loc. Mortise  35129 Padova ( PD ),San Lorenzo Invest srl,81943
1,44,527825,Via Orlandini 10  35131 Padova ( PD ),Ruffato Mario srl,83477
1,45,528372,via Pescarotto  35131 Padova ( PD ),CEV SpA,84716
1,46,469010,Via Valeri  35131 Padova ( PD ),Consorzio Stabile Pedron Costruzioni Generali; assegnato,86148
1,47,534241,Via Sarpi 130  35138 Padova ( PD ),Bosco Costruzioni srl,87704
1,48,528520,Via San Giovanni di Verdara  35020 Padova ( PD ),Rosso srl; integrato,89188
1,49,371374,Via del Giglio  35100 Padova ( PD ),San Lorenzo Invest srl,90978
1,50,443862,Via T.Aspetti 259  35134 Padova ( PD ),Cons. Stabile Conpat scarl; GeDi Group SpA; Taddei Spa,92388
1,51,525939,Via Cardinal Callegari 5  35137 Padova ( PD ),Padoan Costruzioni Generali srl,93691
1,52,523358,Via Moretto da Brescia   35134 Padova ( PD ),Unyon Consorzio Stabile scarl,95189
1,53,523359,Via Duprè 24  35134 Padova ( PD ),FM Costruzioni srl,96520
1,54,523909,Via Roma 25  35010 Vigodarzere ( PD ),Sicom Srl,98103
1,55,514439,fr. Mejaniga  35010 Cadoneghe ( PD ),Furlan Costruzioni srl,99448
1,56,529262,Via Turazza  35128 Padova ( PD ),Ballan Costruzioni srl,101304
1,57,540351,Via Cassan  35121 Padova ( PD ),Bassetto Costruzioni srl; Pesce Costruzioni srl,102965
1,58,519031,Via degli Zabarella  35121 Padova ( PD ),Carron SpA,104774
1,59,293853,Loc.Riviera Paleocapa  35141 Padova ( PD ),ArCo Lavori s.coop.consortile; GeDi Group SpA; VF Costruzioni e Restauri Srl; assegnato; integrato; integrato aggiudicato al Consorzio,106904
1,60,540718,Via Armando Diaz 65  35031 Abano Terme ( PD ),Domus Factory srl; assegnato,108831
1,61,509372,Via Armando Diaz 62  35031 Abano Terme ( PD ),Frizzarin Carlo srl,110105
1,62,532198,via Platone snc  35036 Montegrotto Terme ( PD ),Suninvest SpA,111759
1,63,539168,Vc. Rialto  35036 Montegrotto Terme ( PD ),Bazza Real Estate srl; assegnato,113342
1,64,534239,Via Manzoni  35036 Montegrotto Terme ( PD ),Bosco Costruzioni srl,114620
1,65,509281,Via Manzoni   35020 Albignasego ( PD ),Aquarius Immobiliare srl,116489
1,66,527815,Via Milano  35020 Albignasego ( PD ),Immobiliare Barison Srl,117937
1,67,529055,Via Torino  35020 Albignasego ( PD ),CPR srl + LG Costruzioni srl,119254
1,68,534138,Via M. Callas  35020 Albignasego ( PD ),Immobiliare San Bonaventura srl; assegnato,120702
1,69,534139,Via Callas  35020 Albignasego ( PD ),Edilbaraldo srl,121902
1,70,511389,Via Risorgimento  35020 Albignasego ( PD ),New Costruzioni srl,123192
1,71,525279,Via E. A. Mario ang. Via San Giorgio  35020 Albignasego ( PD ),BME immobiliare srl; assegnato,124686
1,72,480474,Via Pizzamano 34  35127 Padova ( PD ),IPS Srl,126571
1,73,538242,Via Martiri di Cefalonia  35020 Albignasego ( PD ),Terranova srl; assegnato,128151
1,74,488911,Via San Francesco  35020 Ponte San Nicolò ( PD ),Scapin Costruzioni srl,129401
1,75,542089,Via Pertini   35020 Legnaro ( PD ),Sabegi srl; assegnato,130995
1,76,539575,Via Giuseppe Caron  35020 Sant'Angelo di Piove di Sacco ( PD ),Evelin Costruzioni; assegnato,132391
1,77,534196,Via D'Annunzio  35028 Piove di Sacco ( PD ),Beni Immobiliari srl,134057
1,78,505109,Via San Francesco  35028 Piove di Sacco ( PD ),Lasa F.lli Nata srl,135543
