Blocco,Ordine,ID Progetto,Indirizzo,Impresa,Tempo cumulato (s),Parte,Link Google Maps,Ultima,Descrizione
1,1,530034,B.go San Gottardo 44  30026 Portogruaro ( VE ),Capogruppo ATI; Castellanimpianti srl,0,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.7795907%2C12.8389052/45.8003307%2C12.7468054/45.9443805%2C12.4231724/46.1138677%2C12.0928919/45.973307%2C12.3114989/45.5617946%2C12.7946751/45.8983727%2C12.2924192/45.9010052%2C12.2856577/45.8848608%2C12.2963579/45.886057%2C12.2927579"", ""Blocco 1 Parte 1"")",,
1,2,526775,Via Comugne  30020 Pramaggiore ( VE ),Galli srl,1973,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.7795907%2C12.8389052/45.8003307%2C12.7468054/45.9443805%2C12.4231724/46.1138677%2C12.0928919/45.973307%2C12.3114989/45.5617946%2C12.7946751/45.8983727%2C12.2924192/45.9010052%2C12.2856577/45.8848608%2C12.2963579/45.886057%2C12.2927579"", ""Blocco 1 Parte 1"")",,
1,3,524953,Via Cima da Conegliano  31016 Cordignano ( TV ),Impresa Edile Artigiana Fratelli Carlet,5231,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.7795907%2C12.8389052/45.8003307%2C12.7468054/45.9443805%2C12.4231724/46.1138677%2C12.0928919/45.973307%2C12.3114989/45.5617946%2C12.7946751/45.8983727%2C12.2924192/45.9010052%2C12.2856577/45.8848608%2C12.2963579/45.886057%2C12.2927579"", ""Blocco 1 Parte 1"")",,
1,4,496253,Via Martiri delle Foibe  32036 Sedico ( BL ),Tena srl,9769,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.7795907%2C12.8389052/45.8003307%2C12.7468054/45.9443805%2C12.4231724/46.1138677%2C12.0928919/45.973307%2C12.3114989/45.5617946%2C12.7946751/45.8983727%2C12.2924192/45.9010052%2C12.2856577/45.8848608%2C12.2963579/45.886057%2C12.2927579"", ""Blocco 1 Parte 1"")",,
1,5,186399,ex cartiera Galvani  31029 Vittorio Veneto ( TV ),Luma srl,13643,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.7795907%2C12.8389052/45.8003307%2C12.7468054/45.9443805%2C12.4231724/46.1138677%2C12.0928919/45.973307%2C12.3114989/45.5617946%2C12.7946751/45.8983727%2C12.2924192/45.9010052%2C12.2856577/45.8848608%2C12.2963579/45.886057%2C12.2927579"", ""Blocco 1 Parte 1"")",,
1,6,335871,Via Selva Rosata 79  30021 Caorle ( VE ),Manelli Impresa Spa,13643,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.7795907%2C12.8389052/45.8003307%2C12.7468054/45.9443805%2C12.4231724/46.1138677%2C12.0928919/45.973307%2C12.3114989/45.5617946%2C12.7946751/45.8983727%2C12.2924192/45.9010052%2C12.2856577/45.8848608%2C12.2963579/45.886057%2C12.2927579"", ""Blocco 1 Parte 1"")",,
1,7,533327,Via Immacolata di Lourdes  31015 Conegliano ( TV ),Tre srl,13643,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.7795907%2C12.8389052/45.8003307%2C12.7468054/45.9443805%2C12.4231724/46.1138677%2C12.0928919/45.973307%2C12.3114989/45.5617946%2C12.7946751/45.8983727%2C12.2924192/45.9010052%2C12.2856577/45.8848608%2C12.2963579/45.886057%2C12.2927579"", ""Blocco 1 Parte 1"")",,
1,8,525893,Via Monte Civetta  31015 Conegliano ( TV ),Immobiliare Regina srl,14988,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.7795907%2C12.8389052/45.8003307%2C12.7468054/45.9443805%2C12.4231724/46.1138677%2C12.0928919/45.973307%2C12.3114989/45.5617946%2C12.7946751/45.8983727%2C12.2924192/45.9010052%2C12.2856577/45.8848608%2C12.2963579/45.886057%2C12.2927579"", ""Blocco 1 Parte 1"")",,
1,9,528922,P.zza Calvi  31015 Conegliano ( TV ),Luma srl,16659,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.7795907%2C12.8389052/45.8003307%2C12.7468054/45.9443805%2C12.4231724/46.1138677%2C12.0928919/45.973307%2C12.3114989/45.5617946%2C12.7946751/45.8983727%2C12.2924192/45.9010052%2C12.2856577/45.8848608%2C12.2963579/45.886057%2C12.2927579"", ""Blocco 1 Parte 1"")",,
1,10,529002,"Via Pietro Caronelli, 28  31015 Conegliano ( TV )",Lavoro srl,17928,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.7795907%2C12.8389052/45.8003307%2C12.7468054/45.9443805%2C12.4231724/46.1138677%2C12.0928919/45.973307%2C12.3114989/45.5617946%2C12.7946751/45.8983727%2C12.2924192/45.9010052%2C12.2856577/45.8848608%2C12.2963579/45.886057%2C12.2927579"", ""Blocco 1 Parte 1"")",,
1,11,491589,Via Stadio 16  31015 Conegliano ( TV ),Golden Art srl,19382,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.8814895%2C12.3047018/45.87343360000001%2C12.2836901/45.888254%2C12.2985116/45.9014921%2C12.1716702/45.7812966%2C12.1238488/45.6761345%2C12.1105713/45.680538%2C12.1032363/45.6707217%2C12.2346754/45.6669338%2C12.2430608/45.671255%2C12.2483292"", ""Blocco 1 Parte 2"")",,
1,12,521801,Via Cacciatori delle Alpi 16  31015 Conegliano ( TV ),Terna Costruzioni srl,20902,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.8814895%2C12.3047018/45.87343360000001%2C12.2836901/45.888254%2C12.2985116/45.9014921%2C12.1716702/45.7812966%2C12.1238488/45.6761345%2C12.1105713/45.680538%2C12.1032363/45.6707217%2C12.2346754/45.6669338%2C12.2430608/45.671255%2C12.2483292"", ""Blocco 1 Parte 2"")",,
1,13,522887,Via Teatro Vecchio 17  31015 Conegliano ( TV ),Bodio H srl,22692,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.8814895%2C12.3047018/45.87343360000001%2C12.2836901/45.888254%2C12.2985116/45.9014921%2C12.1716702/45.7812966%2C12.1238488/45.6761345%2C12.1105713/45.680538%2C12.1032363/45.6707217%2C12.2346754/45.6669338%2C12.2430608/45.671255%2C12.2483292"", ""Blocco 1 Parte 2"")",,
1,14,542206,Via Garibaldi  31053 Pieve di Soligo ( TV ),De Biasi Costruzioni snc,25158,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.8814895%2C12.3047018/45.87343360000001%2C12.2836901/45.888254%2C12.2985116/45.9014921%2C12.1716702/45.7812966%2C12.1238488/45.6761345%2C12.1105713/45.680538%2C12.1032363/45.6707217%2C12.2346754/45.6669338%2C12.2430608/45.671255%2C12.2483292"", ""Blocco 1 Parte 2"")",ultima azienda da visitare,
1,15,527851,V.lo Fanio Soligo  31040 Volpago del Montello ( TV ),Martini Costruzioni Generali srl,28308,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.8814895%2C12.3047018/45.87343360000001%2C12.2836901/45.888254%2C12.2985116/45.9014921%2C12.1716702/45.7812966%2C12.1238488/45.6761345%2C12.1105713/45.680538%2C12.1032363/45.6707217%2C12.2346754/45.6669338%2C12.2430608/45.671255%2C12.2483292"", ""Blocco 1 Parte 2"")",,
1,16,524717,Via Mons. Vincenzo Milani  31036 Istrana ( TV ),Marchesin snc,30714,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.8814895%2C12.3047018/45.87343360000001%2C12.2836901/45.888254%2C12.2985116/45.9014921%2C12.1716702/45.7812966%2C12.1238488/45.6761345%2C12.1105713/45.680538%2C12.1032363/45.6707217%2C12.2346754/45.6669338%2C12.2430608/45.671255%2C12.2483292"", ""Blocco 1 Parte 2"")",,
1,17,540140,Via Mons. Luigi Antonello   31036 Istrana ( TV ),Immobiliare Stemarc sas,32093,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.8814895%2C12.3047018/45.87343360000001%2C12.2836901/45.888254%2C12.2985116/45.9014921%2C12.1716702/45.7812966%2C12.1238488/45.6761345%2C12.1105713/45.680538%2C12.1032363/45.6707217%2C12.2346754/45.6669338%2C12.2430608/45.671255%2C12.2483292"", ""Blocco 1 Parte 2"")",,
1,18,529613,v.le Monfenera  31100 Treviso ( TV ),Cecchin srl,34305,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.8814895%2C12.3047018/45.87343360000001%2C12.2836901/45.888254%2C12.2985116/45.9014921%2C12.1716702/45.7812966%2C12.1238488/45.6761345%2C12.1105713/45.680538%2C12.1032363/45.6707217%2C12.2346754/45.6669338%2C12.2430608/45.671255%2C12.2483292"", ""Blocco 1 Parte 2"")",,
1,19,529728,Sant'Antonino  31100 Treviso ( TV ),Cecchin srl,35656,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.8814895%2C12.3047018/45.87343360000001%2C12.2836901/45.888254%2C12.2985116/45.9014921%2C12.1716702/45.7812966%2C12.1238488/45.6761345%2C12.1105713/45.680538%2C12.1032363/45.6707217%2C12.2346754/45.6669338%2C12.2430608/45.671255%2C12.2483292"", ""Blocco 1 Parte 2"")",,
1,20,534724,Via Montello 33  31100 Treviso ( TV ),Tesser Costruzioni srl,37204,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.8814895%2C12.3047018/45.87343360000001%2C12.2836901/45.888254%2C12.2985116/45.9014921%2C12.1716702/45.7812966%2C12.1238488/45.6761345%2C12.1105713/45.680538%2C12.1032363/45.6707217%2C12.2346754/45.6669338%2C12.2430608/45.671255%2C12.2483292"", ""Blocco 1 Parte 2"")",,
1,21,529564,via Lancenigo  31100 Treviso ( TV ),Frattin Costruzioni srl,38808,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,22,534672,Fr. Fiera  31100 Treviso ( TV ),Tesser Costruzioni srl,40603,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,23,521195,Via Bianchi  31021 Mogliano Veneto ( TV ),Finmac srl,42764,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,24,464989,Via Tinto  30174 Venezia ( VE ),Suninvest SpA,44569,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,25,500955,Q.re. San Liberale  31100 Treviso ( TV ),Capogruppo ATI; Ecis Global srl; Mini Costruzioni Srl,46468,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,26,363618,Sestiere Dorsoduro 2209  30123 Venezia ( VE ),Errico Costruzioni srl,49406,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,27,507834,Via Arco di Giano  35129 Padova ( PD ),Industrie Edili SpA,52565,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,28,535483,loc. Mortise  35129 Padova ( PD ),San Lorenzo Invest srl,53993,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
