ID Progetto,File,Indirizzo,Imprese,Valore Stimato,Latitudine,Longitudine
161802,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,V.le Pavia   26900 Lodi ( LO ),Tecno Consulent srl; assegnato,25000000,45.3055443,9.4926605
178432,DEFINITIVO PIEMONTE MAGGIO ,Via Unità d'Italia  10126 Torino ( TO ),Consorzio San Luca srl; RICT Tauro sas di arch. Locandieri Marina e C.,30000000,45.0433566,7.6029227
185658,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Pza Cavour  22100 Como ( CO ),Mazzucchi Costruzioni srl,30000000,45.813221,9.0808269
186399,DEFINITIVO VENETO FINO A MAGGIO 2025,ex cartiera Galvani  31029 Vittorio Veneto ( TV ),Luma srl,5000000,45.987014,12.3012827
218728,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via Francesco Sforza  20122 Milano ( MI ),ArCo Lavori s.coop.consortile; Consorzio Innova Società Cooperativa; Consorzio Stabile SIS Scpa; Palaser srl,165285000,45.4602971,9.1959989
221148,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via Tofano 5  20153 Milano ( MI ),ICR Impianti e Costruzioni srl; SALC SpA Società Appalti Lavori e Costruzioni + SALC SpA Società Appalti Lavori e Costruzioni; integrato,16629000,45.4781045,9.0920123
222914,DEFINITIVO EMILIA ROMAGNA MAGGIO,Via Falconieri  48124 Ravenna ( RA ),ArCo Lavori s.coop.consortile,17390000,44.3994486,12.2001254
237767,DEFINITIVO LIGURIA MAGGIO 2025,Loc.Felettino  19126 La Spezia ( SP ),Guerrato SpA,160833000,44.131429,9.8434102
261299,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,P.le Spedali Civili  25123 Brescia ( BS ),Consorzio Innova Società Cooperativa; Enrico Colombo SpA; Gianni Benvenuto SpA; assegnato; integrato,23461000,45.5547584,10.2325778
266808,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,area ex Rosen Garden  22018 Porlezza ( CO ),Giardelli Costruzioni SpA; assegnato,6000000,46.0374519,9.1252814
272917,DEFINITIVO LIGURIA MAGGIO 2025,Loc. Erzelli  16152 Genova ( GE ),Capogruppo ATI; NBI SpA - Gruppo Astaldi,90000000,44.4258581,8.8629232
274886,DEFINITIVO EMILIA ROMAGNA MAGGIO,Via Ponente  40133 Bologna ( BO ),Impresa Percassi SpA,10000000,44.5084224,11.2990218
278571,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via  delle Rogge  20089 Rozzano ( MI ),Archetipo srl; assegnato,7000000,45.37132,9.1469499
290025,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,P.za dell'Ateneo Nuovo  20126 Milano ( MI ),CMC Cooperativa Muratori e Cementisti,43585000,45.5182577,9.2139043
291555,DEFINITIVO VENETO FINO A MAGGIO 2025,Via Anzio  37023 Grezzana ( VR ),CEA Coop Edile Appennino s.coop.rl,5100000,45.5158091,11.0196618
293160,DEFINITIVO VENETO FINO A MAGGIO 2025,Via Ciamber 1  32012 Val di Zoldo ( BL ),ITI Impresa Generale SpA; assegnato,4655000,46.3484708,12.1918949
293853,DEFINITIVO VENETO FINO A MAGGIO 2025,Loc.Riviera Paleocapa  35141 Padova ( PD ),ArCo Lavori s.coop.consortile; GeDi Group SpA; VF Costruzioni e Restauri Srl; assegnato; integrato; integrato aggiudicato al Consorzio,55793000,45.4017209,11.8674049
299804,DEFINITIVO PIEMONTE MAGGIO ,Area Avio-Oval  10126 Torino ( TO ),ABP Nocivelli SpA; Capogruppo ATI; Inc SpA; Sacyr S.A; Sipal SpA; assegnato,455959000,45.03954179999999,7.670644299999998
313694,DEFINITIVO TRENTINO FINO A MAGGIO 2025,Zona Gansplatzen  39044 Egna ( BZ ),Mak Costruzioni srl,1900000,46.3070976,11.2673189
322314,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,P.za della Chiesa  23010 Gerola Alta ( SO ),Ruggiero Telecomunicazioni & Energia Srl,624000,46.0603517,9.5505675
322461,DEFINITIVO VENETO FINO A MAGGIO 2025,Via Meltar  36012 Asiago ( VI ),GVG SpA,1607000,45.8559694,11.5359654
324157,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,P.za Banfi  20866 Carnate ( MB ),Proedil Costruzioni srl,1000000,45.6510066,9.3774893
326646,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,P.le Trento  21100 Varese ( VA ),Edil Alta srl; ReseArch Consorzio Stabile scarl,13495000,45.8183805,8.8330992
335871,DEFINITIVO VENETO FINO A MAGGIO 2025,Via Selva Rosata 79  30021 Caorle ( VE ),Manelli Impresa Spa,20122000,45.5617946,12.7946751
336548,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via General Biancardi   21052 Busto Arsizio ( VA ),Teicos UE srl; integrato,9200000,45.6159548,8.8579828
337356,DEFINITIVO EMILIA ROMAGNA MAGGIO,Via Copparo  44123 Ferrara ( FE ),Bruni Costruzioni; assegnato,18600000,44.846195,11.6523959
340404,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,area ex Falck  20099 Sesto San Giovanni ( MI ),Edison Facility Solutions SpA; Inso SpA Sistemi per le Infrastrutture Sociali; Italiana Costruzioni SpA; Societa' Italiana Condotte d'Acqua SpA,450000000,45.5442494,9.2483073
353755,DEFINITIVO TRENTINO FINO A MAGGIO 2025,Loc. Madonna di Campiglio  38086 Pinzolo ( TN ),Pretti & Scalfi SpA,4996000,46.1597717,10.7651024
354036,DEFINITIVO TRENTINO FINO A MAGGIO 2025,Via Alto Adige  39100 Bolzano ( BZ ),CMB Coop.Muratori e Braccianti di Carpi srl,300000000,46.4963108,11.3551164
363618,DEFINITIVO VENETO FINO A MAGGIO 2025,Sestiere Dorsoduro 2209  30123 Venezia ( VE ),Errico Costruzioni srl,2046000,45.4343206,12.3258343
371374,DEFINITIVO VENETO FINO A MAGGIO 2025,Via del Giglio  35100 Padova ( PD ),San Lorenzo Invest srl,4800000,45.4365789,11.882154
373415,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via Matteotti  21052 Busto Arsizio ( VA ),Notarimpresa SpA; integrato,4030000,45.6121229,8.8479705
373506,DEFINITIVO LIGURIA MAGGIO 2025,c/o Forte Begato  16159 Genova ( GE ),Capogruppo ATI; Cesag srl; integrato,4360000,44.438173,8.920739
378715,DEFINITIVO LIGURIA MAGGIO 2025,Via Queirolo  18018 Taggia ( IM ),R Costruzioni srl; assegnato,1500000,43.8310724,7.8506734
380412,DEFINITIVO PIEMONTE MAGGIO ,via Castelli  28922 Verbania ( VB ),Siteco scarl,4000000,45.9245534,8.5486021
381387,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,V.le Emilio Golgi 19  27100 Pavia ( PV ),Omnia Servitia srl; assegnato; integrato,18390000,45.1833944,9.1548469
381799,DEFINITIVO VENETO FINO A MAGGIO 2025,via San Marco  35129 Padova ( PD ),Brenta Lavori srl,25000000,45.4200033,11.9335527
383117,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Loc.Masnago  21100 Varese ( VA ),Operazione srl,6988000,45.82987199999999,8.795022399999999
386443,DEFINITIVO TRENTINO FINO A MAGGIO 2025,Fr.Settequerce  39018 Terlano ( BZ ),Mastria Costruzioni srl,2741000,46.51140470000001,11.2661069
388353,DEFINITIVO PIEMONTE MAGGIO ,Via Bartolomeo Mana  10040 Druento ( TO ),Donizzetti 85 snc; assegnato,10000000,45.1288598,7.5744942
392683,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Area ex Expo  20157 Milano ( MI ),Renco SpA,416000000,45.514483,9.110102300000001
393762,DEFINITIVO PIEMONTE MAGGIO ,Via Verdi 18  10078 Venaria Reale ( TO ),Cobar SpA + Fiammengo Federico srl; integrato,1820000,45.1314151,7.6277211
395535,DEFINITIVO VENETO FINO A MAGGIO 2025,Via Gabelli  35121 Padova ( PD ),AHSI SpA; Capogruppo ATI,5804000,45.4053213,11.8854843
396702,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via XXIV Maggio  24128 Bergamo ( BG ),Ferretti Casa SpA; assegnato,10000000,45.6960112,9.6523243
400172,DEFINITIVO PIEMONTE MAGGIO ,St. Misterletta  10040 Druento ( TO ),Promicasa srl + Promicasa srl; assegnato,4000000,45.1390322,7.5579479
402002,DEFINITIVO PIEMONTE MAGGIO ,C.so Francia 45  10100 Torino ( TO ),Nuova Siet SpA,2000000,45.0733691,7.600601699999999
403021,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Erodoto 4  20126 Milano ( MI ),Sapa Costruzioni srl,15000000,45.5090817,9.2222654
405651,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via Cecilio 15  22100 Como ( CO ),Impresa Foti srl,5000000,45.7835945,9.068163900000002
406268,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,C.so XXII Marzo 14  20135 Milano ( MI ),Grassi & Crespi srl,5000000,45.4619679,9.210127100000001
406995,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via Verona  22063 Cantù ( CO ),EdilGrande srl,420000,45.7325557,9.1340352
407147,DEFINITIVO LIGURIA MAGGIO 2025,loc. Bolzaneto Valpolcevera  16162 Genova ( GE ),ITI Impresa Generale SpA,7877000,44.4546261,8.897758999999999
407299,DEFINITIVO VENETO FINO A MAGGIO 2025,via Verdi  35013 Cittadella ( PD ),Tiemme Costruzioni Edili SpA,5000000,45.643529,11.7828906
