ID Progetto,File,Indirizzo,Imprese,Valore Stimato
178432,"PIEMONTE, LIGURIA, VENETO (1)",Via Unità d'Italia  10126 Torino ( TO ),Consorzio San Luca srl; RICT Tauro sas di arch. Locandieri Marina e C.,30000000
182891,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Loc.Opicina  34100 Trieste ( TS ),Edil Impianti Trieste srl,70000000
183442,"PIEMONTE, LIGURIA, VENETO (1)",Via Borgo Casale 49  36100 Vicenza ( VI ),Maroso Ivo Enzo srl Unipersonale; PM Srl,4050000
186399,"PIEMONTE, LIGURIA, VENETO (1)",ex cartiera Galvani  31029 Vittorio Veneto ( TV ),Luma srl,5000000
193418,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Vie Curtatone e Montanara  50053 Empoli ( FI ),Nigro & C.Costruzioni srl,8500000
196313,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Carducci 19  61037 Mondolfo ( PU ),COEMA srl; Coges srl,4500000
20065,"PIEMONTE, LIGURIA, VENETO (1)",Loc. Baxie  17028 Spotorno ( SV ),Caruso Costruzioni SpA,2513000
218728,LOMBARDIA X FEDE,Via Francesco Sforza  20122 Milano ( MI ),ArCo Lavori s.coop.consortile; Consorzio Innova Società Cooperativa; Consorzio Stabile SIS Scpa; Palaser srl,165285000
221148,LOMBARDIA X FEDE,Via Tofano 5  20153 Milano ( MI ),ICR Impianti e Costruzioni srl; SALC SpA Società Appalti Lavori e Costruzioni + SALC SpA Società Appalti Lavori e Costruzioni; integrato,16629000
227308,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Stalingrado/Via della Manifattura  40126 Bologna ( BO ),COMAC srl; Manelli Impresa Spa,40271000
233213,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Giordano Bruno 42  56125 Pisa ( PI ),CMSA Società Cooperativa Muratori Sterratori ed,8200000
237767,"PIEMONTE, LIGURIA, VENETO (1)",Loc.Felettino  19126 La Spezia ( SP ),Guerrato SpA,160833000
238047,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Loc. S.Claudio di Campiglione  63900 Fermo ( FM ),Carron SpA,58000000
244503,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Q.re Monticelli  63100 Ascoli Piceno ( AP ),Scientia srl,3446000
267334,LOMBARDIA X FEDE,Via Pizzigoni 9  20156 Milano ( MI ),ITI Impresa Generale SpA,13491000
272917,"PIEMONTE, LIGURIA, VENETO (1)",Loc. Erzelli  16152 Genova ( GE ),Capogruppo ATI; NBI SpA - Gruppo Astaldi,90000000
273887,"PIEMONTE, LIGURIA, VENETO (1)",V.le Giuseppe Mazzini  32032 Feltre ( BL ),Fenix Consorzio Stabile scarl,3718000
274886,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Ponente  40133 Bologna ( BO ),Impresa Percassi SpA,10000000
277155,"PIEMONTE, LIGURIA, VENETO (1)",Via S.Giovanni  14022 Castelnuovo Don Bosco ( AT ),Mistretta srl,795000
287966,"PIEMONTE, LIGURIA, VENETO (1)",Via Traverso  35026 Conselve ( PD ),F.lli Marchetti srl,2684000
288152,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Loc. Torrette  60020 Ancona ( AN ),Rizzani de Eccher SpA; Sacaim SpA,46392000
289269,LOMBARDIA X FEDE,P.le Accursio 21  20151 Milano ( MI ),Caddell Construction Company LCC,294000000
289481,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Poggio Secco   59100 Prato ( PO ),Polistrade Costruzioni Generali SpA,1500000
290025,LOMBARDIA X FEDE,P.za dell'Ateneo Nuovo  20126 Milano ( MI ),CMC Cooperativa Muratori e Cementisti,43585000
291361,LOMBARDIA X FEDE,Via Cozzi  20811 Cesano Maderno ( MB ),Benis Costruzioni srl,3210000
