Blocco,Ordine,ID Progetto,Indirizzo,Impresa,Tempo cumulato (s),Parte,Link Google Maps,Ultima,Descrizione
1,1,528372,via Pescarotto  35131 Padova ( PD ),CEV SpA,0,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.4148438%2C11.8971935/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748"", ""Blocco 3 Parte 1"")",,
1,2,529262,Via Turazza  35128 Padova ( PD ),Ballan Costruzioni srl,1443,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.4148438%2C11.8971935/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748"", ""Blocco 3 Parte 1"")",,
1,3,540351,Via Cassan  35121 Padova ( PD ),Bassetto Costruzioni srl; Pesce Costruzioni srl,3104,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.4148438%2C11.8971935/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748"", ""Blocco 3 Parte 1"")",,
1,4,519031,Via degli Zabarella  35121 Padova ( PD ),Carron SpA,4913,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.4148438%2C11.8971935/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748"", ""Blocco 3 Parte 1"")",,
1,5,443862,Via T.Aspetti 259  35134 Padova ( PD ),Cons. Stabile Conpat scarl; GeDi Group SpA; Taddei Spa,6963,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.4148438%2C11.8971935/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748"", ""Blocco 3 Parte 1"")",,
1,6,523358,Via Moretto da Brescia   35134 Padova ( PD ),Unyon Consorzio Stabile scarl,8291,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.4148438%2C11.8971935/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748"", ""Blocco 3 Parte 1"")",,
1,7,371374,Via del Giglio  35100 Padova ( PD ),San Lorenzo Invest srl,9756,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.4148438%2C11.8971935/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748"", ""Blocco 3 Parte 1"")",,
1,8,534241,Via Sarpi 130  35138 Padova ( PD ),Bosco Costruzioni srl,11371,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.4148438%2C11.8971935/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748"", ""Blocco 3 Parte 1"")",,
1,9,528520,Via San Giovanni di Verdara  35020 Padova ( PD ),Rosso srl; integrato,12855,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.4148438%2C11.8971935/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748"", ""Blocco 3 Parte 1"")",,
1,10,523909,Via Roma 25  35010 Vigodarzere ( PD ),Sicom Srl,14964,1,"=HYPERLINK(""https://www.google.com/maps/dir/45.4148438%2C11.8971935/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748"", ""Blocco 3 Parte 1"")",,
1,11,514439,fr. Mejaniga  35010 Cadoneghe ( PD ),Furlan Costruzioni srl,16309,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.4542321%2C11.9013505/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182"", ""Blocco 3 Parte 2"")",,
1,12,459540,Via Cavour  35020 Ponte San Nicolò ( PD ),Galiazzo Fratelli Costruzioni srl,18501,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.4542321%2C11.9013505/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182"", ""Blocco 3 Parte 2"")",,
1,13,488911,Via San Francesco  35020 Ponte San Nicolò ( PD ),Scapin Costruzioni srl,20130,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.4542321%2C11.9013505/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182"", ""Blocco 3 Parte 2"")",,
1,14,529055,Via Torino  35020 Albignasego ( PD ),CPR srl + LG Costruzioni srl,21998,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.4542321%2C11.9013505/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182"", ""Blocco 3 Parte 2"")",,
1,15,527815,Via Milano  35020 Albignasego ( PD ),Immobiliare Barison Srl,23315,2,"=HYPERLINK(""https://www.google.com/maps/dir/45.4542321%2C11.9013505/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182"", ""Blocco 3 Parte 2"")",,
